id,store_id,description,current_stock,units_per_bulk,stock_bulks,stock_units,split_total,difference
9150c411-7c82-477f-ba84-df2a161c1508,4e2d3397-c839-493a-b908-88251ae05924,Leche Parmalat Entera 1L,466,12,38,10,466,0
63ef37d1-1ead-40c4-a153-f1bd2a7cfc4c,4e2d3397-c839-493a-b908-88251ae05924,Manteca Clover Lb,443,25,17,18,443,0
4677ba9a-3bc1-4bca-9363-4a964b742a1d,4e2d3397-c839-493a-b908-88251ae05924,Mayonesa Lizano 200g (Bolso),387,24,16,3,387,0
ce706212-7e3a-4d93-869e-9c5d7005b78d,4e2d3397-c839-493a-b908-88251ae05924,Papel Higiénico Scott Rinde Max 4 Rollos,311,12,25,11,311,0
acf918c7-d56a-4595-930e-2692412cd54b,4e2d3397-c839-493a-b908-88251ae05924,Papel Toalla Nevax 2 Rollos,372,12,31,0,372,0
e061520f-0605-4c6e-94b6-fbe17cb2305d,4e2d3397-c839-493a-b908-88251ae05924,Pasta Dental Colgate Triple Acción 75ml,367,24,15,7,367,0
771105c6-5811-4d1e-be78-6246f0691f01,4e2d3397-c839-493a-b908-88251ae05924,Pilas Energizer AA 2 Und,382,24,15,22,382,0
f45f7c8d-1efa-4c10-865d-98829f866ecc,4e2d3397-c839-493a-b908-88251ae05924,Pinguino Marinela 2 Und,454,16,28,6,454,0
7bf3049f-240e-4cc0-bb0c-3fb9fb58b18b,4e2d3397-c839-493a-b908-88251ae05924,Raid Mata Mosquitos y Moscas 400ml,464,12,38,8,464,0
49beae02-287e-4a28-a2be-ff435fe3d266,4e2d3397-c839-493a-b908-88251ae05924,Rojita (Fresa) Retornable 1 Litro,207,12,17,3,207,0
43c8c931-ca32-47ca-a6e9-bc0f812d7aeb,4e2d3397-c839-493a-b908-88251ae05924,Ron Plata 1L,500,12,41,8,500,0
277a7131-7977-487a-af90-10144bcb1ffe,4e2d3397-c839-493a-b908-88251ae05924,Sabón Xtra Limón 400g,303,24,12,15,303,0
3ebc7416-72f0-4332-ab6f-d25a00fb96a9,4e2d3397-c839-493a-b908-88251ae05924,Salsa de Tomate Natura’s 400g (Bolso),441,24,18,9,441,0
814015da-34be-4722-a91e-67c3bfc6a772,4e2d3397-c839-493a-b908-88251ae05924,Salsa Lizano 280ml,130,12,10,10,130,0
e4260cdb-af0c-4f4e-9a71-cd142951eba4,4e2d3397-c839-493a-b908-88251ae05924,Shampoo Head & Shoulders Clásico 400ml,165,12,13,9,165,0
635c092e-854e-48f5-9bd6-43ac37b166af,4e2d3397-c839-493a-b908-88251ae05924,Sopa Laky Pollo Fideos 60g,115,24,4,19,115,0
b0aee248-4faa-4792-b427-145f5cb4eb28,4e2d3397-c839-493a-b908-88251ae05924,Suavitel Aroma de Sol 850ml,352,12,29,4,352,0
f5fce516-8c4d-43c2-9975-e0d75e03b109,4e2d3397-c839-493a-b908-88251ae05924,Toallas Sanitarias Saba Buenas Noches 8 Und,421,24,17,13,421,0
1667de11-e696-4d42-afe7-1fbe162b4910,4e2d3397-c839-493a-b908-88251ae05924,Toña Lata 355ml,303,24,12,15,303,0
c10e02a0-fb33-4228-be0a-dfb81a9f103a,4e2d3397-c839-493a-b908-88251ae05924,Tortrix Limón 25g,245,40,6,5,245,0
6b6c6ca6-4a5e-4a13-97d9-3a9fbac1059b,4e2d3397-c839-493a-b908-88251ae05924,Victoria Clásica 12 Oz Retornable,265,24,11,1,265,0
1bf13ad8-9b0e-4c36-8c82-085a24dc3255,9321856d-19ba-42b8-ba47-cf35c0d133dd,Aceite Clover Bolsa 500ml,123,24,5,3,123,0
cf6ea47d-f148-4e97-869d-ed72a3909d63,9321856d-19ba-42b8-ba47-cf35c0d133dd,Aceite Ideal Botella 750ml,412,12,34,4,412,0
475d5ddf-bc84-4476-91eb-ac08d0683626,9321856d-19ba-42b8-ba47-cf35c0d133dd,Aceite Patrona 1L,311,1,311,0,311,0
40e3c73d-c9f7-4f0d-b8f5-62ef8c195d1d,9321856d-19ba-42b8-ba47-cf35c0d133dd,Agua Alpina 500ml,240,24,10,0,240,0
5ba2004a-525c-46ed-a188-238295b267c3,9321856d-19ba-42b8-ba47-cf35c0d133dd,Aromatizante Glade Limón 400ml,108,12,9,0,108,0
23712fdb-85fd-4f9e-90ea-4acc48b372d3,9321856d-19ba-42b8-ba47-cf35c0d133dd,Arroz Faisán 10lb,0,1,0,0,0,0
b23ebc2d-a68c-4914-acf9-8de599534588,9321856d-19ba-42b8-ba47-cf35c0d133dd,Arroz Faisán 80/20 1 Lb,170,25,6,20,170,0
94242f20-6e87-4fa8-9e60-5c2009b6f572,9321856d-19ba-42b8-ba47-cf35c0d133dd,Arroz Faisán Faisanito 1 Lb,377,25,15,2,377,0
7974df8b-9cc0-4531-9a4a-f2c23380556a,9321856d-19ba-42b8-ba47-cf35c0d133dd,Avena Quaker En Hojuelas 400g,155,24,6,11,155,0
3b3aaf27-6caf-4955-9e97-aa0beb751e9d,9321856d-19ba-42b8-ba47-cf35c0d133dd,Azúcar Sulí Blanca 1 Kg,505,25,20,5,505,0
b01a16dc-535b-4efe-8283-194272d31e08,9321856d-19ba-42b8-ba47-cf35c0d133dd,Bombillo LED Philips 9W,435,12,36,3,435,0
39d4fba5-f146-4966-8190-04cfa53d5c4d,9321856d-19ba-42b8-ba47-cf35c0d133dd,Café Presto Soluble 200g,441,12,36,9,441,0
106c0833-137e-4f44-a894-d93256b6ba8a,9321856d-19ba-42b8-ba47-cf35c0d133dd,Café Toro Molido 400g,420,24,17,12,420,0
e9a18c98-ae6e-4bc3-870a-bc6fc4588ebc,9321856d-19ba-42b8-ba47-cf35c0d133dd,Cereal Froot Loops Kellogg’s 250g,369,12,30,9,369,0
17bd4ad0-75b2-4e65-a2c2-79ddfcc69751,9321856d-19ba-42b8-ba47-cf35c0d133dd,Cloro Magia Blanca 1 Litro,208,15,13,13,208,0
2e7860f1-89bf-4e7e-9136-84e6b63e9b89,9321856d-19ba-42b8-ba47-cf35c0d133dd,Coca Cola 2L,900,1,0,1000,1000,-100
804f635d-3ede-4c01-847e-48ce3b5492c1,9321856d-19ba-42b8-ba47-cf35c0d133dd,Coca-Cola Desechable 3 Litros,122,6,20,2,122,0
f8b56ab8-a5df-4889-9a6b-0ddfcb14046c,9321856d-19ba-42b8-ba47-cf35c0d133dd,Consomé Maggi Pollo 10 Cubitos,181,24,7,13,181,0
43df7243-3787-4bd1-8ebe-8f13f84205c5,9321856d-19ba-42b8-ba47-cf35c0d133dd,Desodorante Rexona Clinical Men 48g,232,12,19,4,232,0
6126fa44-f3e8-421e-a1de-d7d1557bcdff,9321856d-19ba-42b8-ba47-cf35c0d133dd,Detergente Omo 500g,0,1,0,0,0,0
7c2d602f-89b2-4747-9171-9469e7f31057,9321856d-19ba-42b8-ba47-cf35c0d133dd,Detergente Omo Extra Concentrado 1Kg,414,12,34,6,414,0
d5b7a453-495c-44db-85fc-ce4b15d8252a,9321856d-19ba-42b8-ba47-cf35c0d133dd,Doritos Queso Atrevido 45g,425,36,11,29,425,0
f4495104-a8a8-43bd-9a72-748c2361c994,9321856d-19ba-42b8-ba47-cf35c0d133dd,Fideos Laky Chow Mein 200g,458,24,19,2,458,0
827cba45-b5ba-4242-9ef9-97d683c576ae,9321856d-19ba-42b8-ba47-cf35c0d133dd,Flor de Caña 7 Años Gran Reserva 750ml,138,12,11,6,138,0
0ba29bd4-ba24-4573-b3e2-723a7874a94f,9321856d-19ba-42b8-ba47-cf35c0d133dd,Fósforos El Relámpago Pqt 10 cajas,207,50,4,7,207,0
1d22abef-8422-485f-9e35-1cfd526a3e26,9321856d-19ba-42b8-ba47-cf35c0d133dd,Frijoles Rojos 1lb,900,1,0,1000,1000,-100
6f07d07b-d7ef-4156-bc62-bfdb59df08b5,9321856d-19ba-42b8-ba47-cf35c0d133dd,Frijol Negro Blandito 1 Lb,166,24,6,22,166,0
65444a1d-197b-4813-a54e-7596e8928c09,9321856d-19ba-42b8-ba47-cf35c0d133dd,Frijol Rojo Seda Blandito 1 Lb,157,24,6,13,157,0
b15a1c31-4194-4db1-ad76-a01be9be6060,9321856d-19ba-42b8-ba47-cf35c0d133dd,Galletas Chiky Chocolate 6 Und,433,24,18,1,433,0
ce55c7b0-6e53-4021-aa74-341182975736,9321856d-19ba-42b8-ba47-cf35c0d133dd,Galletas Club Max 12 Und,243,24,10,3,243,0
40288e12-69bf-4448-9de2-dc2ed32ffa84,9321856d-19ba-42b8-ba47-cf35c0d133dd,Gatorade Naranja 500ml,139,12,11,7,139,0
aff04889-fb47-4098-b862-d6991e0a6784,9321856d-19ba-42b8-ba47-cf35c0d133dd,Jabón Protex Avena 3x110g,462,12,38,6,462,0
b4de8706-e6f5-4bee-aa5a-60dbf3b10fae,9321856d-19ba-42b8-ba47-cf35c0d133dd,Jugo del Valle Naranja 1L,422,12,35,2,422,0
b2c7876d-14e0-4b25-8a5c-c7441d6bf7f3,9321856d-19ba-42b8-ba47-cf35c0d133dd,Leche Dos Pinos Descremada 1L,409,12,34,1,409,0
8c549dac-221e-4ad6-9e48-812086fabf9e,9321856d-19ba-42b8-ba47-cf35c0d133dd,Leche Parmalat Entera 1L,77,12,6,5,77,0
dfd6de0a-f7c5-4358-9e66-eb9dea2f5451,9321856d-19ba-42b8-ba47-cf35c0d133dd,Manteca Clover Lb,461,25,18,11,461,0
94024a51-2718-4acd-9e8c-586040b15d47,9321856d-19ba-42b8-ba47-cf35c0d133dd,Mayonesa Lizano 200g (Bolso),471,24,19,15,471,0
3286384a-6702-4ac3-baed-e63bc4f382aa,9321856d-19ba-42b8-ba47-cf35c0d133dd,Papel Higiénico Scott Rinde Max 4 Rollos,123,12,10,3,123,0
a19172e1-929c-40d5-883a-e8e18a1314fd,9321856d-19ba-42b8-ba47-cf35c0d133dd,Papel Toalla Nevax 2 Rollos,207,12,17,3,207,0
ecf5d85d-9d28-4586-bbeb-b8be702e7ddf,9321856d-19ba-42b8-ba47-cf35c0d133dd,Pasta Dental Colgate Triple Acción 75ml,135,24,5,15,135,0
846cdc7e-062d-4b3d-9a5a-9242bfb7c541,9321856d-19ba-42b8-ba47-cf35c0d133dd,Pilas Energizer AA 2 Und,218,24,9,2,218,0
1f54bd76-6719-4d38-a04b-0e72119c2823,9321856d-19ba-42b8-ba47-cf35c0d133dd,Pinguino Marinela 2 Und,182,16,11,6,182,0
11cf2a59-ff4f-4a5f-bac9-931b965a63f4,9321856d-19ba-42b8-ba47-cf35c0d133dd,Producto Auditoría T370241,0,1,0,0,0,0
fab7c1cb-4a25-46ab-a181-9c74c31d2c64,9321856d-19ba-42b8-ba47-cf35c0d133dd,Producto Auditoría T466119,0,1,0,0,0,0
a7dab356-e110-41cf-a912-360e50242fe8,9321856d-19ba-42b8-ba47-cf35c0d133dd,Raid Mata Mosquitos y Moscas 400ml,437,12,36,5,437,0
057974d5-65f7-4c75-9110-7db308b6c7c9,9321856d-19ba-42b8-ba47-cf35c0d133dd,Refresco de Prueba AUDIT-063964,0,1,0,0,0,0
e9e375da-a403-4272-b702-da27e0e07827,9321856d-19ba-42b8-ba47-cf35c0d133dd,Refresco de Prueba AUDIT-092619,0,1,0,0,0,0
ea3a6b7f-3544-44e2-b52d-b5675503fa63,9321856d-19ba-42b8-ba47-cf35c0d133dd,Refresco de Prueba AUDIT-113663,0,1,0,0,0,0
9e98be36-e861-432b-acfc-cfc4de4902cb,9321856d-19ba-42b8-ba47-cf35c0d133dd,Refresco de Prueba AUDIT-134143,0,1,0,0,0,0
4d7953a0-dd77-4a57-ad6c-ba6fd07a46c0,9321856d-19ba-42b8-ba47-cf35c0d133dd,Refresco de Prueba AUDIT-151775,0,1,0,0,0,0
eb131b3d-a64c-4eb7-ae16-f59327f8f3e9,9321856d-19ba-42b8-ba47-cf35c0d133dd,Refresco de Prueba AUDIT-198151,0,1,0,0,0,0
0907256f-68c5-4bb9-968c-54dbae8fd82c,9321856d-19ba-42b8-ba47-cf35c0d133dd,Rojita (Fresa) Retornable 1 Litro,420,12,35,0,420,0
5db6625f-69a8-4614-850a-804bd68b9259,9321856d-19ba-42b8-ba47-cf35c0d133dd,Ron Plata 1L,272,12,22,8,272,0
f7563df0-f9be-4385-9017-87bb9ce713ad,9321856d-19ba-42b8-ba47-cf35c0d133dd,Sabón Xtra Limón 400g,266,24,11,2,266,0
cbf35789-dda7-41c5-b6d8-c52f87d92505,9321856d-19ba-42b8-ba47-cf35c0d133dd,Salsa de Tomate Natura’s 400g (Bolso),138,24,5,18,138,0
2447dda0-ed4b-43e9-bc7e-d22752a7b2ac,9321856d-19ba-42b8-ba47-cf35c0d133dd,Salsa Lizano 280ml,178,12,14,10,178,0
25c8a930-e89f-4f74-ae6e-2b145ab00a8f,9321856d-19ba-42b8-ba47-cf35c0d133dd,Shampoo Head & Shoulders Clásico 400ml,401,12,33,5,401,0
6da85eae-c2bd-4637-a109-50fd59a0a7aa,9321856d-19ba-42b8-ba47-cf35c0d133dd,Sopa Laky Pollo Fideos 60g,378,24,15,18,378,0
59ac89f0-f996-43d2-ba5b-e48ebffbe87a,9321856d-19ba-42b8-ba47-cf35c0d133dd,Suavitel Aroma de Sol 850ml,498,12,41,6,498,0
94bfc731-6053-4dad-a7f0-14dc7d4e211e,9321856d-19ba-42b8-ba47-cf35c0d133dd,Toallas Sanitarias Saba Buenas Noches 8 Und,494,24,20,14,494,0
ff1a39b9-e865-4e49-b6af-8c1447666bcc,9321856d-19ba-42b8-ba47-cf35c0d133dd,Toña Lata 355ml,445,24,18,13,445,0
504f96b3-1b15-4f02-bf1c-1c0ab5554b0b,9321856d-19ba-42b8-ba47-cf35c0d133dd,Tortrix Limón 25g,112,40,2,32,112,0
53b1b21e-05fb-4e58-baa6-de4d3ee28f05,9321856d-19ba-42b8-ba47-cf35c0d133dd,Victoria Clásica 12 Oz Retornable,250,24,10,10,250,0
c0000000-0000-4000-8000-000000000001,a0000000-0000-4000-8000-000000000001,Producto Test 1,1000,1,0,0,0,1000
c0000000-0000-4000-8000-000000000002,a0000000-0000-4000-8000-000000000001,Producto Test 2,500,1,0,0,0,500
